,Mano,Grande,Stddev_grande,Grande_value
616,R 7 5 5 (3),11.8493,0.911638,8533.2
676,R 7 5 5 (4),11.8403,0.909726,8533.1
684,R 7 5 4 (1),11.7869,0.555556,8532.4
865,R 7 5 4 (2),11.7022,0.555252,8532.3
1040,R 7 5 4 (3),11.6216,0.552873,8532.2
1098,R 7 5 4 (4),11.5373,0.549929,8532.1
1107,R 7 5 A (1),11.4566,0.387986,8531.4
1284,R 7 5 A (2),11.2647,0.384429,8531.3
128,R 7 5 A (3),11.0744,0.382206,8531.2
191,R 7 5 A (4),10.8856,0.379279,8531.1
913,R 7 4 4 (1),10.6208,0.868509,8522.4
1089,R 7 4 4 (2),10.6111,0.868154,8522.3
1267,R 7 4 4 (3),10.6026,0.867012,8522.2
1319,R 7 4 4 (4),10.5933,0.867993,8522.1
9,R 7 4 A (1),10.5415,0.374076,8521.4
182,R 7 4 A (2),10.3575,0.371541,8521.3
353,R 7 4 A (3),10.175,0.368577,8521.2
417,R 7 4 A (4),9.9952,0.365417,8521.1
231,R 7 A A (1),9.84255,0.389153,8511.4
410,R 7 A A (2),9.71472,0.386002,8511.3
586,R 7 A A (3),9.58764,0.383688,8511.2
647,R 7 A A (4),9.46221,0.381123,8511.1
567,R 6 6 6 (1),8.40166,1.91996,8444.4
726,R 6 6 6 (2),8.40075,1.91992,8444.3
903,R 6 6 6 (3),8.40387,1.91755,8444.2
962,R 6 6 6 (4),8.40064,1.91657,8444.1
974,R 6 6 5 (1),8.40437,0.783501,8443.4
1147,R 6 6 5 (2),8.39498,0.781706,8443.3
1,R 6 6 5 (3),8.38904,0.781725,8443.2
56,R 6 6 5 (4),8.38072,0.780606,8443.1
67,R 6 6 4 (1),8.37433,0.779916,8442.4
242,R 6 6 4 (2),8.36608,0.7799,8442.3
418,R 6 6 4 (3),8.3601,0.781588,8442.2
472,R 6 6 4 (4),8.35323,0.778651,8442.1
481,R 6 6 A (1),8.34572,0.551405,8441.4
663,R 6 6 A (2),8.32942,0.550273,8441.3
842,R 6 6 A (3),8.31087,0.549797,8441.2
897,R 6 6 A (4),8.29557,0.548975,8441.1
1194,R 6 5 5 (1),8.09185,0.768072,8433.4
48,R 6 5 5 (2),8.08417,0.767882,8433.3
221,R 6 5 5 (3),8.07785,0.768222,8433.2
276,R 6 5 5 (4),8.06903,0.767254,8433.1
286,R 6 5 4 (1),8.02594,0.468972,8432.4
465,R 6 5 4 (2),7.96179,0.467599,8432.3
650,R 6 5 4 (3),7.89805,0.465229,8432.2
699,R 6 5 4 (4),7.83346,0.463456,8432.1
710,R 6 5 A (1),7.7688,0.326098,8431.4
890,R 6 5 A (2),7.62104,0.323381,8431.3
1069,R 6 5 A (3),7.47338,0.320742,8431.2
1122,R 6 5 A (4),7.32759,0.318275,8431.1
512,R 6 4 4 (1),7.11916,0.724836,8422.4
693,R 6 4 4 (2),7.11504,0.725064,8422.3
874,R 6 4 4 (3),7.1073,0.724691,8422.2
928,R 6 4 4 (4),7.10104,0.723558,8422.1
935,R 6 4 A (1),7.06111,0.312454,8421.4
1113,R 6 4 A (2),6.91953,0.309384,8421.3
1291,R 6 4 A (3),6.77916,0.306178,8421.2
24,R 6 4 A (4),6.64008,0.303699,8421.1
1163,R 6 A A (1),6.52141,0.321677,8411.4
17,R 6 A A (2),6.42387,0.319769,8411.3
190,R 6 A A (3),6.32685,0.317435,8411.2
246,R 6 A A (4),6.22892,0.314355,8411.1
814,R 5 5 5 (1),5.74793,1.60987,8333.4
985,R 5 5 5 (2),5.75287,1.60777,8333.3
1155,R 5 5 5 (3),5.74853,1.6085,8333.2
1217,R 5 5 5 (4),5.75126,1.60871,8333.1
1229,R 5 5 4 (1),5.74823,0.655968,8332.4
78,R 5 5 4 (2),5.74336,0.654105,8332.3
247,R 5 5 4 (3),5.73771,0.654697,8332.2
304,R 5 5 4 (4),5.73026,0.655336,8332.1
317,R 5 5 A (1),5.72486,0.462849,8331.4
489,R 5 5 A (2),5.71176,0.462957,8331.3
671,R 5 5 A (3),5.69875,0.461493,8331.2
729,R 5 5 A (4),5.68463,0.461766,8331.1
125,R 5 4 4 (1),5.56578,0.6461,8322.4
296,R 5 4 4 (2),5.5598,0.645448,8322.3
471,R 5 4 4 (3),5.554,0.645668,8322.2
531,R 5 4 4 (4),5.54881,0.645917,8322.1
542,R 5 4 A (1),5.5128,0.278225,8321.4
717,R 5 4 A (2),5.39,0.275534,8321.3
896,R 5 4 A (3),5.268,0.272706,8321.2
954,R 5 4 A (4),5.14769,0.269313,8321.1
772,R 5 A A (1),5.04551,0.285713,8311.4
944,R 5 A A (2),4.96033,0.282784,8311.3
1121,R 5 A A (3),4.87589,0.28058,8311.2
1178,R 5 A A (4),4.79264,0.278126,8311.1
1065,R 4 4 4 (1),4.59351,1.44614,8222.4
1238,R 4 4 4 (2),4.5933,1.44464,8222.3
83,R 4 4 4 (3),4.59753,1.44707,8222.2
144,R 4 4 4 (4),4.59486,1.44586,8222.1
157,R 4 4 A (1),4.59556,0.417554,8221.4
326,R 4 4 A (2),4.5831,0.416733,8221.3
500,R 4 4 A (3),4.57099,0.416157,8221.2
562,R 4 4 A (4),4.55744,0.415603,8221.1
379,R 4 A A (1),4.49199,0.269934,8211.4
549,R 4 A A (2),4.41232,0.267726,8211.3
728,R 4 A A (3),4.33155,0.265626,8211.2
788,R 4 A A (4),4.25215,0.262989,8211.1
1313,R A A A (1),4.19928,0.369656,8111.4
163,R A A A (2),4.18149,0.36965,8111.3
336,R A A A (3),4.16396,0.368929,8111.2
505,R A A A (4),4.14575,0.367096,8111.1
1168,C C C C (1),2.43206,6.65096,7777.4
18,C C C C (2),2.42678,6.66093,7777.3
193,C C C C (3),2.43192,6.66485,7777.2
363,C C C C (4),2.40671,6.61831,7777.1
257,C C C S (1),2.43039,1.51153,7776.4
432,C C C S (2),2.43053,1.50952,7776.3
612,C C C S (3),2.43095,1.50783,7776.2
785,C C C S (4),2.42971,1.50991,7776.1
681,C C C 7 (1),2.43155,1.5096,7775.4
860,C C C 7 (2),2.42862,1.50958,7775.3
1033,C C C 7 (3),2.43062,1.5093,7775.2
1203,C C C 7 (4),2.43147,1.50899,7775.1
1104,C C C 6 (1),2.42994,1.50942,7774.4
1280,C C C 6 (2),2.43019,1.5089,7774.3
124,C C C 6 (3),2.42828,1.50764,7774.2
295,C C C 6 (4),2.42821,1.50902,7774.1
198,C C C 5 (1),2.43327,1.50999,7773.4
369,C C C 5 (2),2.42962,1.5106,7773.3
539,C C C 5 (3),2.43412,1.51303,7773.2
716,C C C 5 (4),2.42706,1.50804,7773.1
619,C C C 4 (1),2.42926,1.51044,7772.4
793,C C C 4 (2),2.42937,1.50579,7772.3
971,C C C 4 (3),2.43197,1.50983,7772.2
1140,C C C 4 (4),2.42878,1.5097,7772.1
1043,C C C A (1),2.43081,1.06458,7771.4
1212,C C C A (2),2.43034,1.0636,7771.3
59,C C C A (3),2.4298,1.06495,7771.2
235,C C C A (4),2.42985,1.06553,7771.1
479,C C S S (1),2.43064,1.00489,7766.4
662,C C S S (2),2.42975,1.00527,7766.3
841,C C S S (3),2.42991,1.00446,7766.2
1013,C C S S (4),2.43146,1.00453,7766.1
907,C C S 7 (1),2.4289,0.614731,7765.4
1082,C C S 7 (2),2.42704,0.613268,7765.3
1258,C C S 7 (3),2.42692,0.613024,7765.2
105,C C S 7 (4),2.42455,0.613729,7765.1
5,C C S 6 (1),2.42429,0.612399,7764.4
176,C C S 6 (2),2.42584,0.613949,7764.3
349,C C S 6 (3),2.42185,0.612677,7764.2
521,C C S 6 (4),2.42337,0.612997,7764.1
422,C C S 5 (1),2.42084,0.612155,7763.4
599,C C S 5 (2),2.42156,0.612056,7763.3
771,C C S 5 (3),2.41913,0.611601,7763.2
943,C C S 5 (4),2.41777,0.612196,7763.1
848,C C S 4 (1),2.41689,0.61247,7762.4
1019,C C S 4 (2),2.41559,0.61283,7762.3
1189,C C S 4 (3),2.41391,0.611984,7762.2
