,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,SampleAppearances,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Samples,Sample_size
34,5 5 A A (3),0.0,0.0,88.5795,0.958836,89.5685,0.920415,88.6542,0.995988,0.0,0.0,0.0,0.0,0.0,0.0,3311.2,1132.8,3311.2,12.2, 5 5 A A (3), 12 (3),600000,661730821,661730821,608404711,498165717,169401819,163565104,600000,600000
35,R R S 4 (2),85.5611,0.648422,0.486297,0.128176,68.7773,0.853172,65.9072,0.911827,52.3228,0.92008,13.6457,0.85206,0.0,0.0,8862.3,2687.7,88.3,34.3, R R X X (2), 34 (2),600000,1764668358,1764668358,1616110569,1764668358,974294178,0,600000,600000
36,C 7 7 5 (2),1.20979,0.435042,0.0806574,0.113125,28.6942,1.80202,23.9586,1.7556,0.0,0.0,0.0,0.0,81.4572,2.52686,7553.3,3556.7,55.3,29.3, 7 7 X X (2), 29 (2),600000,378185795,378185795,354633182,235512007,54614591,142673788,600000,600000
37,C C 4 A (4),2.32177,0.424389,34.9246,1.34453,38.5228,1.3717,33.7508,1.38262,0.0,0.0,0.0,0.0,12.5277,1.54222,7721.1,1276.9,77.1,25.1, C C X X (4), 25 (4),600000,756343117,756343117,701862606,479367673,115314764,276975444,600000,600000
38,R 7 6 5 (1),13.5785,0.590552,0.153315,0.0675556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6206,1.21091,8543.4,3457.6,0.4,28.4, X X X X (1), 28 (1),600000,2016787534,1864895353,1228380286,1281303625,308764147,735483909,600000,600000
39,C C S 4 (4),2.41326,0.61274,0.536654,0.291528,37.1316,1.92361,32.957,1.93175,49.0855,1.9911,7.78131,1.44032,0.0,0.0,7762.1,2676.9,77.1,34.1, C C X X (4), 34 (4),600000,378160630,378160630,354613155,378160630,208785096,0,600000,600000
40,R C A A (3),32.5946,0.611317,67.7968,0.609817,11.7747,0.420584,2.35767,0.208374,0.0,0.0,0.0,0.0,2.05294,0.309701,8711.2,1177.8,11.2,22.2, A A X X (3), 22 (3),600000,3529458516,3529458516,3189062303,2273602386,563992439,1255856130,600000,600000
41,R R 5 A (4),69.6071,0.599269,16.5436,0.48333,55.905,0.646832,51.198,0.685255,0.0,0.0,0.0,0.0,22.8299,0.891015,8831.1,1387.9,88.1,26.1, R R X X (4), 26 (4),600000,3529419346,3529419346,3189004503,2199729884,512687633,1329689462,600000,600000
42,R C 7 4 (3),44.8899,0.858234,0.639673,0.137691,0.0,0.0,0.0,0.0,83.0166,0.647733,71.4433,1.01066,0.0,0.0,8752.2,2577.8,0.2,3100.2, X X X X (3), 31 (3),600000,2016769710,1864870329,1228387072,2016769710,1199424791,0,600000,600000
43,C 6 6 5 (3),0.770558,0.348771,0.174486,0.166137,23.3151,1.68534,18.2237,1.58841,0.0,0.0,0.0,0.0,42.7279,3.33711,7443.2,3446.8,44.2,27.2, 6 6 X X (3), 27 (3),600000,378159583,378159583,354615387,245232198,61486704,132927385,600000,600000
44,S S 6 A (1),0.20939,0.128932,11.8688,0.911229,33.1738,1.32645,27.9861,1.31366,0.0,0.0,0.0,0.0,50.002,2.27086,6641.4,1465.6,66.4,27.4, S S X X (1), 27 (1),600000,756368215,756368215,701881386,465329858,105849597,291038357,600000,600000
45,R R C 4 (4),92.3435,0.490484,0.424929,0.1199,53.9923,0.917521,49.763,0.962035,49.0849,0.920989,7.78124,0.665599,0.0,0.0,8872.1,2787.9,88.1,34.1, R R X X (4), 34 (4),600000,1764676522,1764676522,1616111180,1764676522,974298905,0,600000,600000
46,7 5 5 4 (1),0.00223824,0.0188491,2.09689,0.571441,19.4461,1.57696,14.0974,1.43043,0.0,0.0,0.0,0.0,1.75177,0.967931,5332.4,2334.6,33.4,21.4, 5 5 X X (1), 21 (1),600000,378206208,378206208,354657215,267239617,79320293,110966591,600000,600000
47,R S S S (1),27.1013,3.07313,0.0,0.0,82.3492,2.6353,81.1073,2.80048,74.6818,3.0096,47.155,5.00662,0.0,0.0,8666.4,6667.6,666.4,40.4, S S S X (1), 40 (1),600000,126037658,126037658,117753241,126037658,60384865,0,600000,600000
48,R 6 5 5 (2),8.08417,0.767882,0.213149,0.129847,23.7674,1.19893,17.8501,1.12026,0.0,0.0,0.0,0.0,31.9619,2.23553,8433.3,3347.7,33.3,26.3, 5 5 X X (2), 26 (2),600000,756318371,756318371,701840534,494835078,126236755,261483293,600000,600000
49,7 7 6 A (3),0.00990221,0.0279913,13.6471,0.967496,26.7877,1.24756,21.1043,1.19343,0.0,0.0,0.0,0.0,1.18337,0.545646,5541.2,1454.8,55.2,21.2, 7 7 X X (3), 21 (3),600000,756358109,756358109,701872696,520378191,146154377,235979918,600000,600000
50,R R C 7 (3),95.2778,0.3911,3.84538e-06,0.000361251,61.1483,0.89738,57.5775,0.950437,66.8951,0.867826,36.6032,1.23066,0.0,0.0,8875.2,5787.8,88.2,37.2, R R X X (3), 37 (3),600000,1764737634,1764737634,1616195986,1764737634,921518162,0,600000,600000
51,S 7 5 A (2),0.126607,0.0613888,22.3489,0.718434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29806,0.771617,6531.3,1355.7,0.3,23.3, X X X X (2), 23 (2),600000,2016872532,1864947590,1228412648,1334580878,348006505,682291654,600000,600000
52,C 5 5 5 (4),0.552747,0.726394,0.216324,0.456185,77.6798,4.0852,76.3414,4.29441,0.0,0.0,0.0,0.0,13.4085,5.76284,7333.1,3336.9,333.1,25.1, 5 5 5 X (4), 25 (4),600000,63020965,63020965,59455975,41411219,10654911,21609746,600000,600000
53,C 7 4 A (1),0.938427,0.166251,40.8545,0.846132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38117,0.681502,7521.4,1256.6,0.4,22.4, X X X X (1), 22 (1),600000,2016848768,1864954656,1228426256,1357372807,366013799,659475961,600000,600000
54,7 6 5 A (4),0.00501746,0.0122183,25.5203,0.752153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160975,0.128203,5431.1,1344.9,0.1,19.1, X X X X (4), 19 (4),600000,2016860156,1864949911,1228442001,1431053778,428542748,585806378,600000,600000
55,R R C A (1),92.1178,0.351923,4.49302,0.270325,79.6595,0.525141,77.4885,0.573306,100.0,0.0,100.0,0.0,0.0,0.0,8871.4,1787.6,88.4,3100.4, R R X X (1), 31 (1),600000,3529377859,3529377859,3189002359,3529377859,1984386444,0,600000,600000
56,R 6 6 5 (4),8.38072,0.780606,0.173001,0.117071,25.7257,1.23142,19.9603,1.16905,0.0,0.0,0.0,0.0,39.1767,2.32413,8443.1,3447.9,44.1,27.1, 6 6 X X (4), 27 (4),600000,756341140,756341140,701861090,490460622,122935222,265880518,600000,600000
57,S S 7 6 (2),0.215606,0.185248,0.00664518,0.0324907,31.634,1.8549,27.0954,1.82978,44.3038,1.97839,3.12748,0.915591,0.0,0.0,6654.3,4565.7,66.3,33.3, S S X X (2), 33 (2),600000,378163375,378163375,354620812,378163375,217422946,0,600000,600000
58,S 6 4 A (3),0.05766,0.0413721,45.7179,0.859057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02033,0.307402,6421.2,1245.8,0.2,21.2, X X X X (3), 21 (3),600000,2016890058,1864981218,1228445616,1376516296,381705993,640373762,600000,600000
59,C C C A (3),2.4298,1.06495,4.597,1.44762,80.322,2.75223,78.9381,2.92035,85.0662,2.46558,73.4413,4.0829,0.0,0.0,7771.2,1776.8,777.2,3100.2, C C C X (3), 31 (3),600000,126035380,126035380,117753914,126035380,70869208,0,600000,600000
60,C S 6 6 (1),1.79943,0.529104,0.00966937,0.0391723,26.2638,1.75501,21.3674,1.68658,75.6988,1.70584,58.6445,2.55724,0.0,0.0,7644.4,4466.6,44.4,320.4, 6 6 X X (1), 32 (1),600000,378160372,378160372,354612458,378160372,222214786,0,600000,600000
61,C 6 A A (2),0.610733,0.143713,79.6854,0.742985,12.4926,0.609754,4.44753,0.397401,0.0,0.0,0.0,0.0,0.0660544,0.0855267,7411.3,1146.7,11.3,18.3, A A X X (2), 18 (2),600000,1764759736,1764759736,1616175270,1223678671,350280583,541081065,600000,600000
62,7 7 7 6 (4),0.0101118,0.0983393,0.00752667,0.0851336,78.3596,4.03449,77.0608,4.24227,0.0,0.0,0.0,0.0,42.1077,8.26203,5554.1,4554.9,555.1,27.1, 7 7 7 X (4), 27 (4),600000,63020289,63020289,59452403,40933396,10236038,22086893,600000,600000
63,R C S A (2),49.7708,0.609025,5.38974,0.275323,0.0,0.0,0.0,0.0,92.2749,0.326038,86.26,0.560313,0.0,0.0,8761.3,1677.7,0.3,3100.3, X X X X (2), 31 (2),600000,4033685068,3684382736,2352344177,4033685068,2267868417,0,600000,600000
64,6 6 5 5 (1),0.000142433,0.0077577,0.216727,0.302971,88.5126,2.07695,87.7869,2.19887,0.0,0.0,0.0,0.0,7.23906,3.12377,4433.4,3343.6,4433.4,22.4, 6 6 5 5 (1), 22 (1),600000,141819747,141819747,133391603,99950157,29520938,41869590,600000,600000
65,S 7 6 6 (3),0.166854,0.162836,0.0100223,0.0399054,25.663,1.7395,20.7277,1.66809,0.0,0.0,0.0,0.0,79.5146,2.63677,6544.2,4455.8,44.2,29.2, 6 6 X X (3), 29 (3),600000,378184725,378184725,354639800,236884408,55537158,141300317,600000,600000
66,S 5 A A (4),0.0313553,0.032654,85.9968,0.640852,8.41775,0.512836,0.0,0.0,0.0,0.0,0.0,0.0,0.00822268,0.0306223,6311.1,1135.9,11.1,17.1, A A X X (4), 17 (4),600000,1764694034,1764694034,1616146785,1237732543,362683324,526961491,600000,600000
67,R 6 6 4 (1),8.37433,0.779916,1.2059,0.307505,26.6367,1.24564,20.9426,1.18938,0.0,0.0,0.0,0.0,39.0221,2.3426,8442.4,2447.6,44.4,26.4, 6 6 X X (1), 26 (1),600000,756301297,756301297,701828888,494835886,126225826,261465411,600000,600000
