,Mano,Chica,Stddev_chica,Chica_value
709,S 7 4 A (1),41.6403,1.20342,1255.6
545,S 7 4 A (2),41.4464,1.20141,1255.7
855,S 7 4 A (3),41.248,1.20038,1255.8
115,S 7 4 A (4),41.0499,1.20392,1255.9
1099,C 7 4 A (1),40.8555,1.19589,1256.6
1054,C 7 4 A (2),40.6579,1.1953,1256.7
1228,C 7 4 A (3),40.4622,1.19582,1256.8
169,C 7 4 A (4),40.2679,1.20065,1256.9
324,R 7 4 A (1),40.0743,0.844772,1257.6
991,R 7 4 A (2),39.6172,0.840653,1257.7
1303,R 7 4 A (3),39.1643,0.843241,1257.8
1222,R 7 4 A (4),38.7192,0.839258,1257.9
1313,S S 4 A (1),37.8321,1.93711,1265.6
1094,S S 4 A (2),37.8074,1.93383,1265.7
72,S S 4 A (3),37.7926,1.93512,1265.8
87,S S 4 A (4),37.7784,1.93441,1265.9
946,C S 4 A (1),37.6467,1.1818,1266.6
1253,C S 4 A (2),37.4553,1.18123,1266.7
1314,C S 4 A (3),37.2636,1.18088,1266.8
1271,C S 4 A (4),37.0762,1.17667,1266.9
455,R S 4 A (1),36.891,0.831578,1267.6
1291,R S 4 A (2),36.4584,0.831685,1267.7
1044,R S 4 A (3),36.0265,0.829122,1267.8
1020,R S 4 A (4),35.5917,0.825932,1267.9
165,C C 4 A (1),34.9853,1.90523,1276.6
137,C C 4 A (2),34.9619,1.90109,1276.7
8,C C 4 A (3),34.9441,1.89538,1276.8
66,C C 4 A (4),34.9249,1.89695,1276.9
1307,R C 4 A (1),34.8058,0.822395,1277.6
1155,R C 4 A (2),34.3835,0.819823,1277.7
1283,R C 4 A (3),33.9605,0.816027,1277.8
1310,R C 4 A (4),33.5439,0.814332,1277.9
1042,R R 4 A (1),33.1875,0.869814,1287.6
194,R R 4 A (2),32.8876,0.86689,1287.7
133,R R 4 A (3),32.5966,0.862539,1287.8
143,R R 4 A (4),32.2987,0.862775,1287.9
757,5 5 5 A (1),27.1117,4.35059,1332.6
1030,5 5 5 A (2),27.0898,4.36252,1332.7
423,5 5 5 A (3),27.099,4.36232,1332.8
804,5 5 5 A (4),27.0949,4.35787,1332.9
626,6 5 5 A (1),27.1016,1.7679,1333.6
1149,6 5 5 A (2),27.08,1.77513,1333.7
54,6 5 5 A (3),27.0646,1.77186,1333.8
193,6 5 5 A (4),27.0527,1.76803,1333.9
1210,7 5 5 A (1),27.0363,1.77136,1334.6
341,7 5 5 A (2),27.0213,1.76816,1334.7
883,7 5 5 A (3),27.0115,1.76844,1334.8
167,7 5 5 A (4),26.9909,1.77096,1334.9
659,S 5 5 A (1),26.9791,1.76999,1335.6
869,S 5 5 A (2),26.9609,1.77177,1335.7
836,S 5 5 A (3),26.9511,1.77317,1335.8
76,S 5 5 A (4),26.9308,1.76865,1335.9
282,C 5 5 A (1),26.9129,1.76399,1336.6
833,C 5 5 A (2),26.894,1.76869,1336.7
715,C 5 5 A (3),26.882,1.76708,1336.8
70,C 5 5 A (4),26.8663,1.77021,1336.9
527,R 5 5 A (1),26.8504,1.25057,1337.6
273,R 5 5 A (2),26.8134,1.24756,1337.7
560,R 5 5 A (3),26.781,1.24552,1337.8
741,R 5 5 A (4),26.7456,1.24481,1337.9
650,6 6 5 A (1),26.0653,1.7502,1343.6
112,6 6 5 A (2),26.056,1.74666,1343.7
1297,6 6 5 A (3),26.0368,1.74856,1343.8
380,6 6 5 A (4),26.0192,1.75082,1343.9
689,7 6 5 A (1),25.9313,1.06874,1344.6
672,7 6 5 A (2),25.791,1.06655,1344.7
1004,7 6 5 A (3),25.6576,1.06453,1344.8
230,7 6 5 A (4),25.5236,1.06315,1344.9
558,S 6 5 A (1),25.3834,1.06481,1345.6
212,S 6 5 A (2),25.2498,1.05921,1345.7
940,S 6 5 A (3),25.114,1.05824,1345.8
1259,S 6 5 A (4),24.9762,1.05638,1345.9
479,C 6 5 A (1),24.842,1.05418,1346.6
731,C 6 5 A (2),24.7067,1.05023,1346.7
453,C 6 5 A (3),24.571,1.05017,1346.8
1237,C 6 5 A (4),24.4391,1.04876,1346.9
982,R 6 5 A (1),24.3065,0.739055,1347.6
456,R 6 5 A (2),23.9961,0.73647,1347.7
1172,R 6 5 A (3),23.6866,0.732659,1347.8
995,R 6 5 A (4),23.3803,0.729728,1347.9
61,7 7 5 A (1),22.5987,1.66608,1354.6
1133,7 7 5 A (2),22.588,1.6661,1354.7
700,7 7 5 A (3),22.5744,1.66443,1354.8
965,7 7 5 A (4),22.5592,1.66672,1354.9
10,S 7 5 A (1),22.4745,1.01836,1355.6
1130,S 7 5 A (2),22.351,1.01511,1355.7
862,S 7 5 A (3),22.2233,1.01234,1355.8
44,S 7 5 A (4),22.0954,1.01473,1355.9
311,C 7 5 A (1),21.9677,1.00971,1356.6
497,C 7 5 A (2),21.8415,1.00876,1356.7
846,C 7 5 A (3),21.7174,1.0072,1356.8
1156,C 7 5 A (4),21.5926,1.00361,1356.9
358,R 7 5 A (1),21.4666,0.707617,1357.6
598,R 7 5 A (2),21.1745,0.703601,1357.7
393,R 7 5 A (3),20.8897,0.700921,1357.8
1039,R 7 5 A (4),20.599,0.696912,1357.9
1095,S S 5 A (1),20.0385,1.59896,1365.6
899,S S 5 A (2),20.0178,1.59266,1365.7
758,S S 5 A (3),20.0063,1.59795,1365.8
1031,S S 5 A (4),19.9923,1.59257,1365.9
949,C S 5 A (1),19.9144,0.975216,1366.6
1009,C S 5 A (2),19.7916,0.971604,1366.7
625,C S 5 A (3),19.6768,0.970479,1366.8
1150,C S 5 A (4),19.5575,0.967801,1366.9
349,R S 5 A (1),19.4393,0.682272,1367.6
762,R S 5 A (2),19.1613,0.67843,1367.7
1211,R S 5 A (3),18.8889,0.675978,1367.8
342,R S 5 A (4),18.6149,0.671475,1367.9
611,C C 5 A (1),18.2362,1.53613,1376.6
118,C C 5 A (2),18.2151,1.53949,1376.7
651,C C 5 A (3),18.208,1.53824,1376.8
111,C C 5 A (4),18.1906,1.53859,1376.9
1188,R C 5 A (1),18.1158,0.664466,1377.6
277,R C 5 A (2),17.8493,0.662276,1377.7
688,R C 5 A (3),17.5851,0.656397,1377.8
671,R C 5 A (4),17.323,0.652157,1377.9
1138,R R 5 A (1),17.1009,0.694467,1387.6
1288,R R 5 A (2),16.9138,0.690762,1387.7
62,R R 5 A (3),16.7288,0.688544,1387.8
1132,R R 5 A (4),16.5435,0.686711,1387.9
100,6 6 6 A (1),14.2246,3.42485,1443.6
852,6 6 6 A (2),14.2165,3.43232,1443.7
603,6 6 6 A (3),14.2199,3.41777,1443.8
357,6 6 6 A (4),14.215,3.42149,1443.9
179,7 6 6 A (1),14.2194,1.39268,1444.6
1225,7 6 6 A (2),14.2119,1.39077,1444.7
790,7 6 6 A (3),14.2013,1.39179,1444.8
1078,7 6 6 A (4),14.1913,1.39291,1444.9
290,S 6 6 A (1),14.1794,1.38894,1445.6
637,S 6 6 A (2),14.1737,1.38801,1445.7
954,S 6 6 A (3),14.1561,1.38623,1445.8
1006,S 6 6 A (4),14.1535,1.38855,1445.9
536,C 6 6 A (1),14.1404,1.39095,1446.6
436,C 6 6 A (2),14.1282,1.38776,1446.7
75,C 6 6 A (3),14.1193,1.38658,1446.8
1185,C 6 6 A (4),14.1064,1.39042,1446.9
298,R 6 6 A (1),14.1,0.982892,1447.6
521,R 6 6 A (2),14.0752,0.981004,1447.7
798,R 6 6 A (3),14.0512,0.979219,1447.8
929,R 6 6 A (4),14.0281,0.978866,1447.9
1255,7 7 6 A (1),13.663,1.37079,1454.6
1317,7 7 6 A (2),13.6638,1.37144,1454.7
1195,7 7 6 A (3),13.655,1.36723,1454.8
1252,7 7 6 A (4),13.6355,1.36832,1454.9
1107,S 7 6 A (1),13.5792,0.834159,1455.6
910,S 7 6 A (2),13.4905,0.834808,1455.7
408,S 7 6 A (3),13.399,0.829672,1455.8
252,S 7 6 A (4),13.3117,0.829876,1455.9
259,C 7 6 A (1),13.2229,0.826911,1456.6
547,C 7 6 A (2),13.1348,0.822612,1456.7
816,C 7 6 A (3),13.0473,0.823101,1456.8
1075,C 7 6 A (4),12.9593,0.820211,1456.9
514,R 7 6 A (1),12.8703,0.577751,1457.6
1160,R 7 6 A (2),12.6667,0.574243,1457.7
217,R 7 6 A (3),12.4652,0.570309,1457.8
1061,R 7 6 A (4),12.264,0.566303,1457.9
129,S S 6 A (1),11.8714,1.29318,1465.6
1038,S S 6 A (2),11.8628,1.28733,1465.7
1179,S S 6 A (3),11.8546,1.28948,1465.8
241,S S 6 A (4),11.8413,1.28822,1465.9
593,C S 6 A (1),11.7858,0.785841,1466.6
413,C S 6 A (2),11.7035,0.784039,1466.7
503,C S 6 A (3),11.6211,0.783274,1466.8
698,C S 6 A (4),11.5417,0.778418,1466.9
419,R S 6 A (1),11.4555,0.548882,1467.6
809,R S 6 A (2),11.2657,0.544623,1467.7
1049,R S 6 A (3),11.0747,0.540571,1467.8
1104,R S 6 A (4),10.8876,0.537458,1467.9
121,C C 6 A (1),10.6198,1.22792,1476.6
710,C C 6 A (2),10.6126,1.2288,1476.7
101,C C 6 A (3),10.6016,1.22932,1476.8
853,C C 6 A (4),10.5967,1.22467,1476.9
926,R C 6 A (1),10.5398,0.530021,1477.6
1098,R C 6 A (2),10.3568,0.52484,1477.7
