,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Sample_size
719,S 7 6 6 (2),0.16741,0.230731,0.00992966,0.0561446,25.9557,2.4712,21.0378,2.37353,0.0,0.0,0.0,0.0,83.8506,3.40731,6544.3,4455.7,44.3,29.3, 6 6 X X (2), 29 (2),300000,94527096,88639865,59205273,13878281,251551,300000
720,R C S 4 (2),50.9492,1.22173,0.523327,0.176183,0.0,0.0,0.0,0.0,52.3243,1.21605,13.6464,1.12723,0.0,0.0,8762.3,2677.7,0.3,34.3, X X X X (2), 34 (2),300000,466217579,307088240,504212442,278375411,0,300000
721,C S 7 5 (2),1.97821,0.481173,0.0751196,0.0945568,0.0,0.0,0.0,0.0,73.9221,1.51772,55.3071,2.25012,0.0,0.0,7653.3,3566.7,0.3,32.3, X X X X (2), 32 (2),300000,235660086,159976243,252102282,147099715,0,300000
722,S 6 5 5 (1),0.0767216,0.156344,0.214859,0.260983,21.505,2.31344,16.2936,2.14918,0.0,0.0,0.0,0.0,35.0653,4.59232,6433.4,3345.6,33.4,26.4, 5 5 X X (1), 26 (1),300000,94542493,88656487,61852692,15779636,105195,300000
723,S S S 4 (2),0.216078,0.647047,0.551343,1.03364,78.9079,5.68773,77.64,5.98568,52.3415,6.96274,13.6649,6.49897,0.0,0.0,6662.3,2665.7,666.3,34.3, S S S X (2), 34 (2),300000,15751667,14858773,15751667,8695523,0,300000
724,C C C A (2),2.43176,1.51114,4.59004,2.05043,80.3249,3.89313,78.941,4.13117,92.2852,2.62118,86.2782,4.52343,0.0,0.0,7771.3,1776.7,777.3,31.3, C C C X (2), 31 (2),300000,31522089,29450331,31522089,17720982,0,300000
725,6 6 6 6 (3),0.000115445,0.0620336,0.0103664,0.639812,87.7064,20.7892,87.0801,21.7245,0.0,0.0,0.0,0.0,11.5689,27.9509,4444.2,4443.8,4444.2,24.2, 6 6 6 6 (3), 24 (3),288737,985554,937303,680411,191782,22112,300000
726,S S S 4 (3),0.216166,0.647214,0.556855,1.03695,78.8863,5.68279,77.6159,5.98025,50.6901,6.97063,10.7068,5.84879,0.0,0.0,6662.2,2665.8,666.2,34.2, S S S X (3), 34 (3),300000,15756594,14862451,15756594,8701379,0,300000
727,S 7 7 A (2),0.173376,0.165705,8.39358,1.10582,29.7537,1.82095,24.301,1.77366,0.0,0.0,0.0,0.0,17.7738,2.5445,6551.3,1555.7,55.3,25.3, 7 7 X X (2), 25 (2),300000,189099400,175478564,121197920,29697075,53321,300000
728,C C C A (3),2.43263,1.51249,4.59524,2.05071,80.3335,3.89512,78.9502,4.13295,85.0632,3.50027,73.4354,5.79684,0.0,0.0,7771.2,1776.8,777.2,31.2, C C C X (3), 31 (3),300000,31513876,29442791,31513876,17718444,0,300000
729,7 7 7 5 (3),0.0100568,0.13967,0.0815842,0.398438,78.3393,5.7497,77.039,6.04628,0.0,0.0,0.0,0.0,28.6791,11.0328,5553.2,3554.8,555.2,26.2, 7 7 7 X (3), 26 (3),300000,15758095,14865479,10390296,2680903,86037,300000
730,S 5 4 4 (2),0.0411534,0.114475,2.42014,0.864738,17.2093,2.12903,11.7138,1.87393,0.0,0.0,0.0,0.0,8.15037,2.73905,6322.3,2235.7,22.3,23.3, 4 4 X X (2), 23 (2),300000,94544054,88659156,64267391,17672384,24451,300000
731,C 6 5 A (2),0.708306,0.20448,24.7067,1.05023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68856,0.805658,7431.3,1346.7,0.3,22.3, X X X X (2), 22 (2),300000,466219083,307073856,339929910,91991358,11065,300000
732,R C S 4 (4),50.5041,1.22048,0.502233,0.172913,0.0,0.0,0.0,0.0,49.0849,1.22107,7.77953,0.879313,0.0,0.0,8762.1,2677.9,0.1,34.1, X X X X (4), 34 (4),300000,466243706,307114722,504220034,278381169,0,300000
733,C S 7 5 (4),1.96027,0.47829,0.0728377,0.0933537,0.0,0.0,0.0,0.0,70.1205,1.57996,48.7921,2.25813,0.0,0.0,7653.1,3566.9,0.1,32.1, X X X X (4), 32 (4),300000,235687649,159983182,252128310,147115475,0,300000
734,R S 7 A (3),23.6865,0.735719,7.47326,0.45426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0547,1.34694,8651.2,1567.8,0.2,28.2, X X X X (3), 28 (3),300000,921102598,588097590,608150360,133333054,177164,300000
735,C 7 6 4 (3),1.1277,0.364397,1.12904,0.363959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6415,2.87701,7542.2,2456.8,0.2,27.2, X X X X (3), 27 (3),300000,235681499,159983989,162428953,40213671,130924,300000
736,S 4 A A (1),0.0275762,0.0433561,93.9176,0.624078,14.8835,0.928477,7.05829,0.698054,0.0,0.0,0.0,0.0,0.00557054,0.0362778,6211.4,1125.6,11.4,16.4, A A X X (1), 16 (1),300000,441213055,404065506,314072808,94865608,16,300000
737,S 6 5 5 (3),0.0765571,0.155878,0.215699,0.261603,20.9864,2.29638,15.7396,2.12241,0.0,0.0,0.0,0.0,29.0637,4.36999,6433.2,3345.8,33.2,26.2, 5 5 X X (3), 26 (3),300000,94553049,88665429,61873287,15781908,87191,300000
738,C C 4 4 (3),2.33124,1.39361,2.3315,1.39498,91.9831,2.50726,91.4766,2.65966,0.0,0.0,0.0,0.0,61.3088,7.37674,7722.2,2276.8,7722.2,28.2, C C 4 4 (3), 28 (3),300000,35469452,33361960,22104024,5152769,183926,300000
739,6 6 4 4 (1),0.000163969,0.011826,2.39416,1.41535,88.4836,2.94896,87.7557,3.12276,0.0,0.0,0.0,0.0,0.982782,1.72918,4422.4,2243.6,4422.4,20.4, 6 6 4 4 (1), 20 (1),300000,35450390,33342900,25400971,7768842,2948,300000
740,C 4 4 4 (4),0.455477,0.940481,2.433,2.14496,77.1435,5.84515,75.7716,6.14722,0.0,0.0,0.0,0.0,1.51464,3.13328,7222.1,2226.9,222.1,22.1, 4 4 4 X (4), 22 (4),300000,15750537,14859083,10879723,3087289,4543,300000
741,R 5 5 A (4),5.68361,0.652097,26.7456,1.24481,21.7499,1.15924,14.6731,1.04071,0.0,0.0,0.0,0.0,0.775995,0.436597,8331.1,1337.9,33.1,21.1, 5 5 X X (4), 21 (4),300000,378177578,346812382,257083115,70722897,2327,300000
742,R S S S (2),27.0958,4.35446,0.0,0.0,82.3307,3.7394,81.0884,3.97387,73.9266,4.30551,45.5921,7.08518,0.0,0.0,8666.3,6667.7,666.3,40.3, S S S X (2), 40 (2),300000,31521129,29450408,31521129,15104598,0,300000
743,R 7 7 7 (1),14.2093,3.41983,0.000102087,0.00978308,81.7995,3.77956,80.5167,4.01781,100.0,0.0,100.0,0.0,0.0,0.0,8555.4,5557.6,555.4,31.4, 7 7 7 X (1), 31 (1),300000,31509875,29436075,31509875,18939265,0,300000
744,7 7 7 7 (3),0.0101907,0.654454,6.93299e-05,0.037237,88.7564,19.969,88.1736,20.8877,0.0,0.0,0.0,0.0,65.2483,40.6401,5555.2,5554.8,5555.2,28.2, 7 7 7 7 (3), 28 (3),288476,982462,934299,625187,149758,136254,300000
745,C C C 5 (3),2.43297,2.14303,0.028998,0.236927,79.427,5.63763,78.1929,5.93176,57.3854,6.9002,21.3244,7.82931,0.0,0.0,7773.2,3776.8,777.2,35.2, C C C X (3), 35 (3),300000,15756544,14864819,15756544,8534696,0,300000
746,R R R 4 (3),98.8528,0.393862,0.41737,0.237776,88.8726,1.16187,87.7602,1.26976,50.6812,1.84594,10.6835,1.53932,0.0,0.0,8882.2,2887.8,888.2,34.2, R R R X (3), 34 (3),300000,220581809,200534678,220581809,121801153,0,300000
747,C 7 7 A (1),1.20498,0.435196,8.36855,1.10142,30.0842,1.82757,24.6571,1.7824,0.0,0.0,0.0,0.0,21.6581,2.74276,7551.4,1556.6,55.4,25.4, 7 7 X X (1), 25 (1),300000,189073857,175454545,121174707,29692272,64974,300000
748,S 7 7 5 (2),0.175704,0.236477,0.0808744,0.160327,28.6914,2.5504,23.9545,2.4859,0.0,0.0,0.0,0.0,81.4636,3.58249,6553.3,3555.7,55.3,29.3, 7 7 X X (2), 29 (2),300000,94546067,88657052,58884798,13655935,244390,300000
749,C S S 4 (2),2.0894,0.807357,0.554545,0.418888,34.5656,2.68634,30.2203,2.6771,52.3238,2.8163,13.6479,2.61068,0.0,0.0,7662.3,2666.7,66.3,34.3, S S X X (2), 34 (2),300000,94523615,88637451,94523615,52187859,0,300000
750,S S S 6 (3),0.214537,0.64407,0.00224826,0.0667958,78.912,5.6945,77.6475,5.98981,61.6814,6.77625,28.2414,8.67464,0.0,0.0,6664.2,4665.8,666.2,36.2, S S S X (3), 36 (3),300000,15761775,14869889,15761775,8417075,0,300000
751,R C C A (2),55.52,1.39822,4.57979,0.58857,47.1551,1.40622,42.3749,1.45363,92.2752,0.751554,86.2609,1.29305,0.0,0.0,8771.3,1777.7,77.3,31.3, C C X X (2), 31 (2),300000,378176673,346805326,378176673,212629309,0,300000
752,C C C 5 (2),2.4372,2.14747,0.0284457,0.234909,79.4277,5.63767,78.1937,5.93233,58.5242,6.86673,23.4427,8.10238,0.0,0.0,7773.3,3776.7,777.3,35.3, C C C X (2), 35 (2),300000,15758772,14866894,15758772,8537160,0,300000
753,S S S 6 (2),0.216894,0.648402,0.0024498,0.0692204,78.8877,5.68816,77.6206,5.98553,62.8641,6.73817,30.4543,8.84774,0.0,0.0,6664.3,4665.7,666.3,36.3, S S S X (2), 36 (2),300000,15759620,14867640,15759620,8415419,0,300000
754,R C C A (1),55.5714,1.39727,4.59587,0.590054,47.6254,1.40426,42.8893,1.45514,100.0,0.0,100.0,0.0,0.0,0.0,8771.4,1777.6,77.4,31.4, C C X X (1), 31 (1),300000,378159372,346799618,378159372,212615786,0,300000
755,4 4 4 4 (1),0.0,0.0,2.44328,9.73708,85.9364,21.9595,85.221,22.9141,0.0,0.0,0.0,0.0,0.0049075,0.63948,2222.4,2221.6,2222.4,16.4, 4 4 4 4 (1), 16 (1),288680,984445,936410,741642,252492,8,300000
756,7 7 4 4 (3),0.0092114,0.0888372,2.36794,1.40193,89.4704,2.83622,88.8048,3.0048,0.0,0.0,0.0,0.0,2.90288,2.87634,5522.2,2254.8,5522.2,22.2, 7 7 4 4 (3), 22 (3),300000,35461829,33353277,24940026,7329214,8708,300000
757,5 5 5 A (1),0.0,0.0,27.1117,4.35059,78.1485,4.05837,76.6138,4.3035,0.0,0.0,0.0,0.0,0.0182926,0.257705,3331.4,1332.6,333.4,16.4, 5 5 5 X (1), 16 (1),300000,31510981,29443360,23028431,7343195,54,300000
